CityID;CityName;StateProvinceID;LatestRecordedPopulation;LastEditedBy;ValidFrom;ValidTo
190;Agency;26;684;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
191;Agency Village;43;181;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
192;Agenda;17;68;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
193;Agnes;45;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
194;Agness;38;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
195;Agnew;28;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
196;Agnos;4;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
197;Agoura;5;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
198;Agoura Hills;5;20330;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
199;Agra;17;267;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
200;Agra;37;339;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
201;Agricola;25;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
202;Agricola;17;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
203;Agua Dulce;45;812;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
204;Agua Dulce;5;3342;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
205;Agua Fria;32;2800;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
206;Agua Nueva;45;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
207;Aguada;40;3212;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
208;Aguadilla;40;13310;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
209;Aguanga;5;1128;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
210;Aguas Buenas;40;4204;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
211;Aguas Claras;40;3006;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
212;Agudo;32;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
213;Aguila;3;798;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
214;Aguilar;6;538;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
215;Aguilares;45;21;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
216;Aguilita;40;4747;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
217;Ahloso;37;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
218;Ahmeek;23;146;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
219;Ahoskie;34;5039;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
220;Ahtanum;50;3601;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
221;Ahwahnee;5;2246;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
222;Aibonito;40;8249;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
223;Aid;36;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
224;'Aiea;12;9338;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
225;Aiken;45;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
226;Aiken;42;29524;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
227;Ailey;11;432;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
228;Ainsworth;16;567;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
229;Ainsworth;28;1728;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
230;Ainsworth;15;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
231;Airmont;33;8628;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
232;Airport Drive;26;698;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
233;Airport Road Addition;45;93;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
234;Airway Heights;50;6114;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
235;Aitkin;24;2165;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
236;Ajo;3;3304;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
237;Ak Chin;3;30;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
238;Akaska;43;42;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
239;Ak-Chin Village;3;862;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
240;Akeley;24;432;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
241;Akers;26;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
242;Akhiok;2;71;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
243;Akiachak;2;627;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
244;Akiak;2;346;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
245;Akin;14;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
246;Akins;37;493;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
247;Akra;35;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
248;Akron;17;402;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
249;Akron;6;1702;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
250;Akron;1;356;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
251;Akron;15;1167;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
252;Akron;23;402;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
253;Akron;16;1486;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
254;Akron;36;199110;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
255;Akron;33;2868;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
256;Akron;39;3876;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
257;Akutan;2;1027;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
